
 Ref # - 22821-25-0201
 9/10/2025  8:28:23 AM
 CARBON DIST COMPANY INC. (22821)

 The following documents had been emailed to you---

     Reference #             From Branch                       Total Cost
    ---------------     -----------------------------------    ---------- 
    700042500432           4-Kalookan City 9th Ave.                646.38
    700772500461          77-Paranaque City La Huerta            1,133.19
    701202500364         120-Quezon City Araneta Center Far        358.39
    701252500503         125-Pasay City Rotonda                    309.20
    701652500577         165-Cainta Ortigas Ave. Ext.            6,635.52
    702052500553         205-Gen. Trias Bagumbayan               3,249.93
    703812500410         381-San Pedro City Centro Pacita           88.32
    704302500437         430-Iba Public Market                     341.77
    706242500343         624-Camarines Sur Naga City Pe¤afr      1,867.76
    706642500156         664-Puerto Princesa City Malvar Sa     27,175.47
    706992500301         699-Baliuag Puregold                      196.62
    707742500252         774-Surigao City Rizal                  1,634.43
    709432500534         943-Tacurong City Ledesma                  28.27
    710072500444        1007-Kalookan City Samson Puregold         190.27
    710542500149        1054-Makati City Chino Roces Ext.           34.03
    711272500511        1127-Cavite Imus City Buhay Na Tubi        164.28
    711392500372        1139-Kalookan City Imall Camarin           134.36
    720642500544        2064-ZAMB DS MLV MLOY-ON MABINI             51.81
    721562500335        2156-Davao City Talomo Proper Puan        114.03
    721722500139        2172-Cebu Compostela Poblacion              16.34
    721892500270        2189-South Cotabato Tupi Poblacion       1,665.84
    730412500280        3041-Nueva Ecija Cabanatuan City Wa        833.49
    730742500274        3074-Bataan Pilar Alauli                   807.64
    730762500699        3076-La Union Rosario Poblacion Eas        303.38
                                                               ---------- 
                        Totals -------->                        47,980.72
