
 Ref # - 79449-25-0011
 1/14/2025  8:41:05 AM
 RAMOSCO SALES & DIST INC (79449)

 The following documents had been emailed to you---

     Reference #             From Branch                       Total Cost
    ---------------     -----------------------------------    ---------- 
    700232500012          23-GHLS OFC                              186.02
    700522500009          52-MARIKINA CITY DELA PAZ                878.51
    700692500021          69-Muntinlupa City Poblacion             121.94
    700702500013          70-Quezon City Araneta Center Ali         24.42
    701472500032         147-SHANGRLA MAND                       1,254.40
    701582500052         158-Quezon City Commonwealth Tanda      1,347.52
    701642500019         164-Nagcarlan Fernandez                   192.16
    701782500018         178-Manila Malate San Andres              585.27
    701782500019         178-Manila Malate San Andres            1,619.08
    701782500017         178-Manila Malate San Andres               96.67
    701852500014         185-Manila Sta. Mesa Teresa             1,082.12
    701852500013         185-Manila Sta. Mesa Teresa             2,416.50
    701852500025         185-Manila Sta. Mesa Teresa               170.10
    702052500030         205-Gen. Trias Bagumbayan                 671.51
    702062500007         206-Bulacan Prestines Comm'l Compl        431.27
    702072500006         207-Paranaque City Sucat Canaynay         735.95
    702322500027         232-Binangonan JP Rizal                 2,554.25
    702322500034         232-Binangonan JP Rizal                   380.30
    702362500036         236-Navotas City Agora                  1,715.63
    702382500011         238-Makati City Vito Cruz                 777.18
    702382500041         238-Makati City Vito Cruz                  73.10
    702582500037         258-Sta. Cruz P. Guevarra                 102.16
    702602500027         260-SP SAMPOL                           2,298.23
    702622500006         262-Manila Sta. Ana Augusto Franci      1,160.66
    703082500007         308-Mandaluyong City St. Francis S        768.82
    703122500005         312-STH SMRKET ALABANG                    179.55
    703192500011         319-Paranaque City BF Homes El Gra        345.04
    703262500017         326-Paranaque City BF Homes Presid        582.76
    703582500010         358-Makati City Ayala Center The R         69.26
    703692500029         369-Makati City Makati Ave.               181.34
    704122500003         412-Naga City Gen. Luna                   704.00
    704252500011         425-Masbate City Zurbito                  330.76
    104322500019         432-PAMP AGS C MRNDA                    2,147.31
    704682500017         468-Quezon City Novaliches Lagro H        589.12
    704842500020         484-Rodriguez Montalban Town Cente         91.77
    704992500013         499-Taguig City BGC 32nd Street         2,772.20
    705242500020         524-OR MIN PMLYN NAUTCL HWY             1,658.18
    705572500022         557-Guagua Plaza Burgos                    81.00
    707072500033         707-Iligan City Aguinaldo                 391.97
    707372500022         737-ILG TUBOD                             215.19
    707472500011         747-Davao City Buhangin                 1,332.43
    707512500015         751-Kalibo Mabini                       1,199.70
    707662500011         766-Iloilo City Jaro Tagbak             5,440.80
    707782500002         778-Cagayan De Oro City Tomas Saco         85.46
    707822500011         782-Santa Barbara Bypass Rd.              142.92
    709112500009         911-Cagayan De Oro City Tirso Neri      3,224.00
    709592500021         959-Cagayan De Oro City Limketkai        360.01
    709592500017         959-Cagayan De Oro City Limketkai      3,626.34
    709592500024         959-Cagayan De Oro City Limketkai      1,199.10
    709782500014         978-Catarman - Jacinto                    263.83
    709862500030         986-Polomolok Dama De Noche               602.52
    709962500022         996-Gingoog City Nat'l Hway               633.87
    710102500006        1010-Valenzuela City Karuhatan Gen.        166.85
    710642500017        1064-Pulilan Sto. Cristo                    85.46
    710722500024        1072-Meycauayan City EMA Town Cente      1,177.89
    710892500013        1089-Quezon City Prima Residences           68.16
    710952500044        1095-Pasay City Bluebay Walk                13.60
    711002500019        1100-LAG CLM C UNO JP RZL                1,549.80
    711112500011        1111-CAVITE CAVITE CITY CARIDAD          1,219.40
    711112500010        1111-CAVITE CAVITE CITY CARIDAD            912.03
    711252500020        1125-QC PALIGSAHAN QUEZON AVE.             312.25
    711412500015        1141-Kalookan City Deparo                3,111.96
    720092500029        2009-Tacurong City Alunan Hway              79.24
    720192500011        2019-Iloilo City Mandurriao Pali           986.45
    720212500005        2021-Kidapawan City Quezon               1,179.72
    720532500006        2053-Kapatagan Poblacion                 1,747.44
    720562500012        2056-Bantayan Binaobao                      39.70
    720562500016        2056-Bantayan Binaobao                     250.80
    720622500012        2062-Polomolok Gaisano Grand             1,507.15
    720822500011        2082-Santo Tomas Tibal-og                4,103.96
    720922500008        2092-BOHOL JAGNA PAGINA                  1,972.80
    720942500023        2094-NORTH COTABATO MLANG POBLACION      1,317.08
    721042500010        2104-ZAMBDS ZAMB C LAPU                  1,109.25
    721122500025        2112-BUKIDNON MARAMAG SOUTH POBLCN         822.04
    721172500031        2117-SOUTH COTABATO GSC PENDATUN            13.81
    721172500044        2117-SOUTH COTABATO GSC PENDATUN            45.05
    721242500015        2124-Davao Del Sur Davao City Bago        130.38
    721532500010        2153-North Cotabato Makilala Poblac      1,004.30
    721532500011        2153-North Cotabato Makilala Poblac      5,751.30
    721542500002        2154-Davao De Oro Monkayo Poblacion      1,100.37
    721622500017        2162-Capiz Roxas City Poblacion Rox      1,112.97
    721682500015        2168-Misamis Oriental Opol Poblacio        235.10
    721922500018        2192-Negros Occidental Binalbagan P        131.18
    721942500002        2194-Iloilo Barotac Viejo Poblacion        965.77
    721972500020        2197-Negros Occidental Silay City P        965.22
    722012500014        2201-Davao Del Sur Davao City MA-A      1,724.24
    722062500018        2206-Libungan Poblacion                  1,004.62
    722072500005        2207-Cotabato Kidapawan City Nation        554.07
    722152500012        2215-Capiz President Roxas Cabugcab      1,427.56
    722152500013        2215-Capiz President Roxas Cabugcab        814.20
    730262500021        3026-BENGT BAG C A BONI                    748.40
    130452500018        3045-LA UNION BALAOAN POBLACION          1,199.69
    130452500019        3045-LA UNION BALAOAN POBLACION          2,447.91
    730612500006        3061-Zambales Iba Palanginan             1,337.70
    730622500011        3062-CAGAYAN TUGUEGARAO CITY CARIG        572.56
                                                               ---------- 
                        Totals -------->                        97,113.63
