
 Ref # - 85001-24-0208
 10/9/2024  1:22:35 PM
 CLOCKWORK DISTRIBUTION INC. (85001)

 The following documents had been emailed to you---

     Reference #             From Branch                       Total Cost
    ---------------     -----------------------------------    ---------- 
    100122401100          12-Quezon City Cubao Pinatubo            769.21
    100482401512          48-Pasay City Malibay                    106.63
    100482401513          48-Pasay City Malibay                    251.76
    100482401509          48-Pasay City Malibay                    101.43
    100482401510          48-Pasay City Malibay                    742.26
    100482401511          48-Pasay City Malibay                     73.38
    100602402498          60-Kalookan City Monumento               297.30
    100612401639          61-Antipolo City Poblacion               114.53
    100612401640          61-Antipolo City Poblacion                 8.43
    101472404146         147-SHANGRLA MAND                         290.23
    101542401155         154-Makati City Cash & Carry Mall      11,287.54
    101632400933         163-Hagonoy Poblacion                     174.65
    101652401499         165-Cainta Ortigas Ave. Ext.           12,957.72
    101752401673         175-Makati City Comembo                    12.10
    101932401796         193-MKT EVNGLSTA                          226.02
    102092400862         209-Sta. Rosa City Paseo de Sta. R         17.50
    102132400997         213-Bacoor City Aniban                     51.31
    102292401112         229-Quezon City Mayon N. Roxas             57.93
    102292401114         229-Quezon City Mayon N. Roxas            149.05
    102292401115         229-Quezon City Mayon N. Roxas            251.95
    102292401113         229-Quezon City Mayon N. Roxas            170.80
    102292401111         229-Quezon City Mayon N. Roxas            590.22
    102362401166         236-Navotas City Agora                 12,897.88
    102382401311         238-Makati City Vito Cruz                  56.88
    102492401129         249-Manila Tondo Jose Abad Santos          18.08
    102492401128         249-Manila Tondo Jose Abad Santos         203.93
    102812400538         281-Paranaque City Airport Global        228.70
    102812400539         281-Paranaque City Airport Global         76.31
    102892402175         289-Taguig City BGC Market Market         289.12
    103232400760         323-Quezon City Anonas K10th               12.26
    103452401695         345-Quezon City Trinoma Mall Level      1,307.90
    103852401705         385-Pasay City EDSA MRT                    64.65
    103852401706         385-Pasay City EDSA MRT                   109.27
    103852401707         385-Pasay City EDSA MRT                    74.78
    103992401330         399-Quezon City Frisco Place              180.32
    104042400315         404-Lucban Quezon Ave.                  5,014.66
    104252400429         425-Masbate City Zurbito                  938.24
    104302400514         430-Iba Public Market                   2,006.05
    104302400515         430-Iba Public Market                     129.21
    104372400304         437-San Pablo City Maharlika Hway       3,384.96
    104452400471         445-Calasiao McArthur Hway              8,158.16
    104902400671         490-Manila Sta. Mesa P. Sanchez           118.00
    104932400553         493-Quezon City Novaliches Puregol         12.05
    105322400558         532-San Fabian Public Market              166.65
    105322400557         532-San Fabian Public Market              426.24
    105342400445         534-Camiling Poblacion                    185.40
    106482400677         648-BAG ABANAO                            119.12
    106502400579         650-CONCEPCN CRT                        2,084.20
    106702400579         670-Dagupan City Arellano Bani          3,805.31
    106702400580         670-Dagupan City Arellano Bani          3,889.04
    106942401138         694-Agoo Cases Blvd.                      224.10
    107062401984         706-Davao City Bajada                   5,483.42
    107212400582         721-Malaybalay City Sebastian              99.47
    107542400682         754-Dumaguete City Nat'l Hway             546.13
    107612400461         761-Lupon C.Tuballa                       188.75
    109402400727         940-Tagbilaran City CP Garcia             176.30
    110042401094        1004-Quezon City Vasra Visayas Ave.        506.33
    110042401093        1004-Quezon City Vasra Visayas Ave.        100.84
    110042401095        1004-Quezon City Vasra Visayas Ave.         36.75
    110092400853        1009-Navotas City Agora Center              42.34
    110232400401        1023-Las Pinas City Pilar Village       11,548.44
    110252400866        1025-Muntinlupa City Bayanan Bautis         22.40
    110332401045        1033-Quezon City Roosevelt San Anto        917.30
    110482401046        1048-Antipolo City Mayamot Vermont          6.13
    110712400729        1071-Alfonso Poblacion                      20.00
    110732400793        1073-Makati City Dela Rosa Carpark          5.00
    110752400828        1075-Taguig City Western Bicutan Ba        547.08
    110912401256        1091-MNL S CRZ ORQT SAN LA                  88.30
    111162401053        1116-MARIKINA CITY CONCEPCION DOS L      5,878.34
    111192400835        1119-PSG C AY MALLS PRDGM T 30TH            28.56
    111252401109        1125-QC PALIGSAHAN QUEZON AVE.           1,516.06
    111272400924        1127-Cavite Imus City Buhay Na Tubi        355.57
    111272400925        1127-Cavite Imus City Buhay Na Tubi        651.59
    111282400611        1128-Cavite Amadeo Paseo De Amadeo           5.88
    111452400225        1145-Paranaque City San Antonio            250.44
    111592400920        1159-Mandaluyong City High Pointe M         12.01
    111592400923        1159-Mandaluyong City High Pointe M        518.35
    111642400656        1164-Quezon City Corinthian Gardens         56.21
    111972400731        1197-Bulacan Pulilan Poblacion             281.95
